,index,_id,rt,stimulus,response,response_correct,stimURL,chunk_id,rep,block_number,composite_duration,chunk_duration,participant_condition,compatible_trial,validity,talls_name,wides_name,part_type,part_a,part_b,compatible_condition,trial_type,trial_index,time_elapsed,internal_node_id,datatype,experimentName,iterationName,workerID,gameID,compatibility,composite_id,trial_bin,flagRT
10,10,61678ffa9075de37027a1f4d,1378.2999999523163,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,500,500,A,True,valid,talls_122_127,wides_025_023,tall,tall_122,tall_127,A,tower-zipping,31,462347,0.0-31.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,compatible,talls_122_127.png,3.0,False
11,11,61678ffd9075de37027a1f4e,1550.9000000953674,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,0,0,500,500,A,True,valid,talls_102_126,wides_024_011,wide,wide_024,wide_011,A,tower-zipping,32,465684,0.0-32.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,compatible,talls_102_126.png,3.0,False
12,12,616790009075de37027a1f4f,1364.7999999523163,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,500,500,A,False,valid,talls_102_126,wides_024_011,tall,tall_102,tall_126,B,tower-zipping,33,468829,0.0-33.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,incompatible,talls_102_126.png,3.0,False
13,13,616790039075de37027a1f50,1273.5,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,500,500,A,False,valid,talls_100_118,wides_013_010,wide,wide_013,wide_010,none,tower-zipping,34,471887,0.0-34.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,novel,talls_100_118.png,3.0,False
14,14,616790079075de37027a1f51,1749.5,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,500,500,A,True,valid,talls_102_126,wides_024_011,wide,wide_024,wide_011,A,tower-zipping,35,475417,0.0-35.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,compatible,talls_102_126.png,3.0,False
15,15,6167900a9075de37027a1f52,1483.8000001907349,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,500,500,A,False,invalid,talls_122_127,wides_025_023,wide,wide_010,wide_013,B,tower-zipping,36,478749,0.0-36.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,incompatible,talls_122_127.png,3.0,False
16,16,6167900e9075de37027a1f53,1693.3000001907349,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,500,500,A,False,invalid,talls_102_126,wides_024_011,tall,tall_118,tall_100,B,tower-zipping,37,482302,0.0-37.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,incompatible,talls_102_126.png,3.0,False
17,17,616790119075de37027a1f54,1505.5999999046326,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,m,0,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,500,500,A,False,invalid,talls_100_118,wides_013_010,tall,tall_122,tall_126,none,tower-zipping,38,485663,0.0-38.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,novel,talls_100_118.png,3.0,False
18,18,616790149075de37027a1f55,1378.0999999046326,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,500,500,A,True,invalid,talls_122_127,wides_025_023,tall,tall_118,tall_100,A,tower-zipping,39,488840,0.0-39.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,compatible,talls_122_127.png,3.0,False
19,19,616790179075de37027a1f56,1303.0,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,500,500,A,False,valid,talls_122_127,wides_025_023,wide,wide_025,wide_023,B,tower-zipping,40,492001,0.0-40.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,incompatible,talls_122_127.png,3.0,False
20,20,6167901b9075de37027a1f57,1686.3999998569489,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,500,500,A,True,valid,talls_122_127,wides_025_023,tall,tall_122,tall_127,A,tower-zipping,41,495542,0.0-41.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,compatible,talls_122_127.png,3.0,False
21,21,6167901e9075de37027a1f58,1311.5999999046326,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,500,500,A,False,valid,talls_100_118,wides_013_010,tall,tall_100,tall_118,none,tower-zipping,42,498717,0.0-42.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,novel,talls_100_118.png,4.0,False
22,22,616790229075de37027a1f59,1509.2000000476837,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,500,500,A,True,invalid,talls_102_126,wides_024_011,wide,wide_010,wide_013,A,tower-zipping,43,502083,0.0-43.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,compatible,talls_102_126.png,4.0,False
23,23,616790259075de37027a1f5a,1772.5999999046326,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,1,0,500,500,A,False,invalid,talls_100_118,wides_013_010,wide,wide_025,wide_011,none,tower-zipping,44,505652,0.0-44.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,novel,talls_100_118.png,4.0,False
24,24,616790289075de37027a1f5b,1130.5,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,0,500,500,A,False,valid,talls_100_118,wides_013_010,tall,tall_100,tall_118,none,tower-zipping,45,508651,0.0-45.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,novel,talls_100_118.png,4.0,False
25,25,6167902b9075de37027a1f5c,1581.6000001430511,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,0,500,500,A,True,invalid,talls_122_127,wides_025_023,tall,tall_100,tall_126,A,tower-zipping,46,512032,0.0-46.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,compatible,talls_122_127.png,4.0,False
26,26,6167902f9075de37027a1f5d,1311.4000000953674,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,0,500,500,A,False,invalid,talls_100_118,wides_013_010,wide,wide_023,wide_025,none,tower-zipping,47,515215,0.0-47.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,novel,talls_100_118.png,4.0,False
27,27,616790329075de37027a1f5e,1132.0999999046326,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,0,500,500,A,False,valid,talls_100_118,wides_013_010,wide,wide_013,wide_010,none,tower-zipping,48,518230,0.0-48.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,novel,talls_100_118.png,4.0,False
28,28,616790359075de37027a1f5f,1388.7000000476837,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,0,500,500,A,False,invalid,talls_102_126,wides_024_011,tall,tall_100,tall_127,B,tower-zipping,49,521418,0.0-49.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,incompatible,talls_102_126.png,4.0,False
29,29,616790389075de37027a1f60,1121.5,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,0,500,500,A,False,valid,talls_122_127,wides_025_023,wide,wide_025,wide_023,B,tower-zipping,50,524402,0.0-50.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,incompatible,talls_122_127.png,4.0,False
30,30,6167903b9075de37027a1f61,1214.4000000953674,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,0,500,500,A,True,valid,talls_102_126,wides_024_011,wide,wide_024,wide_011,A,tower-zipping,51,527532,0.0-51.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,compatible,talls_102_126.png,4.0,False
31,31,6167903f9075de37027a1f62,2115.399999856949,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,m,0,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,0,500,500,A,True,invalid,talls_102_126,wides_024_011,wide,wide_013,wide_023,A,tower-zipping,52,531536,0.0-52.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,compatible,talls_102_126.png,4.0,False
32,32,616790429075de37027a1f63,1513.6000001430511,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,0,500,500,A,False,valid,talls_102_126,wides_024_011,tall,tall_102,tall_126,B,tower-zipping,53,534922,0.0-53.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,incompatible,talls_102_126.png,4.0,False
33,33,616790469075de37027a1f64,1331.6000001430511,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,0,500,500,A,False,invalid,talls_100_118,wides_013_010,tall,tall_127,tall_122,none,tower-zipping,54,538120,0.0-54.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,novel,talls_100_118.png,4.0,False
34,34,616790499075de37027a1f65,1915.7000000476837,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,0,500,500,A,False,invalid,talls_122_127,wides_025_023,wide,wide_013,wide_011,B,tower-zipping,55,541933,0.0-55.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,incompatible,talls_122_127.png,5.0,False
35,35,6167904d9075de37027a1f66,1323.0,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,2,0,500,500,A,True,valid,talls_122_127,wides_025_023,tall,tall_122,tall_127,A,tower-zipping,56,545142,0.0-56.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,compatible,talls_122_127.png,5.0,False
36,36,616790509075de37027a1f67,1785.0999999046326,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,m,0,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,3,0,500,500,A,True,invalid,talls_102_126,wides_024_011,wide,wide_025,wide_010,A,tower-zipping,57,548733,0.0-57.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,compatible,talls_102_126.png,5.0,False
37,37,616790539075de37027a1f68,1153.8999998569489,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_102_126.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,3,0,500,500,A,True,valid,talls_102_126,wides_024_011,wide,wide_024,wide_011,A,tower-zipping,58,551783,0.0-58.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,compatible,talls_102_126.png,5.0,False
38,38,616790569075de37027a1f69,1140.3999998569489,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,3,0,500,500,A,False,valid,talls_100_118,wides_013_010,tall,tall_100,tall_118,none,tower-zipping,59,554832,0.0-59.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,novel,talls_100_118.png,5.0,False
39,39,6167905a9075de37027a1f6a,1607.1999998092651,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_122_127.png,z,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,3,0,500,500,A,False,invalid,talls_122_127,wides_025_023,wide,wide_024,wide_010,B,tower-zipping,60,558298,0.0-60.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,incompatible,talls_122_127.png,5.0,False
40,40,6167905d9075de37027a1f6b,1142.2000000476837,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,m,1,https://tower-4-block-unique-silhouettes-composite-silhouette-png.s3.amazonaws.com/tower_4_block_unique_silhouette_composites_silhouette_talls_100_118.png,wides_025_023,3,0,500,500,A,False,valid,talls_100_118,wides_013_010,wide,wide_013,wide_010,none,tower-zipping,61,561344,0.0-61.0,trial_end,block_construction_zipping,pilot_0,61678071de3b5fb66dd56f43,6077-f23a7e61-5a66-4da1-9d16-9a0ae3df945e,novel,talls_100_118.png,5.0,False
